dataset,method,k,winner,full_ranking
scores_4_neg,cluster,9,Jean.Luc.Mélenchon,Jean.Luc.Mélenchon > Yannick.Jadot > Philippe.Poutou > Fabien.Roussel > Anne.Hidalgo > Nathalie.Arthaud > Emmanuel.Macron > Jean.Lassalle > Valérie.Pecresse > Nicolas.Dupont.Aignan > Marine.Le.Pen > Eric.Zemmour
scores_4_pos,cluster,3,Jean.Luc.Mélenchon,Jean.Luc.Mélenchon > Yannick.Jadot > Philippe.Poutou > Fabien.Roussel > Anne.Hidalgo > Nathalie.Arthaud > Emmanuel.Macron > Jean.Lassalle > Valérie.Pecresse > Marine.Le.Pen > Nicolas.Dupont.Aignan > Eric.Zemmour
scores_4_pos,cluster,5,Jean.Luc.Mélenchon,Jean.Luc.Mélenchon > Yannick.Jadot > Philippe.Poutou > Fabien.Roussel > Anne.Hidalgo > Nathalie.Arthaud > Emmanuel.Macron > Jean.Lassalle > Valérie.Pecresse > Marine.Le.Pen > Nicolas.Dupont.Aignan > Eric.Zemmour
scores_4_pos,cluster,7,Jean.Luc.Mélenchon,Jean.Luc.Mélenchon > Yannick.Jadot > Philippe.Poutou > Fabien.Roussel > Anne.Hidalgo > Nathalie.Arthaud > Emmanuel.Macron > Jean.Lassalle > Valérie.Pecresse > Marine.Le.Pen > Nicolas.Dupont.Aignan > Eric.Zemmour
scores_4_pos,cluster,9,Jean.Luc.Mélenchon,Jean.Luc.Mélenchon > Yannick.Jadot > Philippe.Poutou > Fabien.Roussel > Anne.Hidalgo > Nathalie.Arthaud > Emmanuel.Macron > Jean.Lassalle > Valérie.Pecresse > Marine.Le.Pen > Nicolas.Dupont.Aignan > Eric.Zemmour
scores_3_neg,knn,3,Jean.Luc.Mélenchon,Jean.Luc.Mélenchon > Yannick.Jadot > Philippe.Poutou > Fabien.Roussel > Anne.Hidalgo > Nathalie.Arthaud > Emmanuel.Macron > Jean.Lassalle > Valérie.Pecresse > Nicolas.Dupont.Aignan > Marine.Le.Pen > Eric.Zemmour
scores_3_neg,knn,5,Jean.Luc.Mélenchon,Jean.Luc.Mélenchon > Yannick.Jadot > Philippe.Poutou > Fabien.Roussel > Anne.Hidalgo > Nathalie.Arthaud > Emmanuel.Macron > Jean.Lassalle > Valérie.Pecresse > Nicolas.Dupont.Aignan > Marine.Le.Pen > Eric.Zemmour
scores_3_neg,knn,7,Jean.Luc.Mélenchon,Jean.Luc.Mélenchon > Yannick.Jadot > Philippe.Poutou > Fabien.Roussel > Anne.Hidalgo > Nathalie.Arthaud > Emmanuel.Macron > Jean.Lassalle > Valérie.Pecresse > Nicolas.Dupont.Aignan > Marine.Le.Pen > Eric.Zemmour
scores_3_neg,knn,9,Jean.Luc.Mélenchon,Jean.Luc.Mélenchon > Yannick.Jadot > Philippe.Poutou > Fabien.Roussel > Anne.Hidalgo > Nathalie.Arthaud > Emmanuel.Macron > Jean.Lassalle > Valérie.Pecresse > Nicolas.Dupont.Aignan > Marine.Le.Pen > Eric.Zemmour
scores_3_neg,knn,11,Jean.Luc.Mélenchon,Jean.Luc.Mélenchon > Yannick.Jadot > Philippe.Poutou > Fabien.Roussel > Anne.Hidalgo > Nathalie.Arthaud > Emmanuel.Macron > Jean.Lassalle > Valérie.Pecresse > Nicolas.Dupont.Aignan > Marine.Le.Pen > Eric.Zemmour
scores_3_pos,knn,3,Jean.Luc.Mélenchon,Jean.Luc.Mélenchon > Yannick.Jadot > Philippe.Poutou > Fabien.Roussel > Anne.Hidalgo > Nathalie.Arthaud > Emmanuel.Macron > Jean.Lassalle > Valérie.Pecresse > Nicolas.Dupont.Aignan > Marine.Le.Pen > Eric.Zemmour
scores_3_pos,knn,5,Jean.Luc.Mélenchon,Jean.Luc.Mélenchon > Yannick.Jadot > Philippe.Poutou > Fabien.Roussel > Anne.Hidalgo > Nathalie.Arthaud > Emmanuel.Macron > Jean.Lassalle > Valérie.Pecresse > Nicolas.Dupont.Aignan > Marine.Le.Pen > Eric.Zemmour
scores_3_pos,knn,7,Jean.Luc.Mélenchon,Jean.Luc.Mélenchon > Yannick.Jadot > Philippe.Poutou > Fabien.Roussel > Anne.Hidalgo > Nathalie.Arthaud > Emmanuel.Macron > Jean.Lassalle > Valérie.Pecresse > Nicolas.Dupont.Aignan > Marine.Le.Pen > Eric.Zemmour
scores_3_pos,knn,9,Jean.Luc.Mélenchon,Jean.Luc.Mélenchon > Yannick.Jadot > Philippe.Poutou > Fabien.Roussel > Anne.Hidalgo > Nathalie.Arthaud > Emmanuel.Macron > Jean.Lassalle > Valérie.Pecresse > Nicolas.Dupont.Aignan > Marine.Le.Pen > Eric.Zemmour
scores_3_pos,knn,11,Jean.Luc.Mélenchon,Jean.Luc.Mélenchon > Yannick.Jadot > Philippe.Poutou > Fabien.Roussel > Anne.Hidalgo > Nathalie.Arthaud > Emmanuel.Macron > Jean.Lassalle > Valérie.Pecresse > Nicolas.Dupont.Aignan > Marine.Le.Pen > Eric.Zemmour
scores_4_neg,knn,3,Jean.Luc.Mélenchon,Jean.Luc.Mélenchon > Yannick.Jadot > Philippe.Poutou > Fabien.Roussel > Anne.Hidalgo > Nathalie.Arthaud > Emmanuel.Macron > Jean.Lassalle > Valérie.Pecresse > Nicolas.Dupont.Aignan > Marine.Le.Pen > Eric.Zemmour
scores_4_neg,knn,5,Jean.Luc.Mélenchon,Jean.Luc.Mélenchon > Yannick.Jadot > Philippe.Poutou > Fabien.Roussel > Anne.Hidalgo > Nathalie.Arthaud > Emmanuel.Macron > Jean.Lassalle > Valérie.Pecresse > Nicolas.Dupont.Aignan > Marine.Le.Pen > Eric.Zemmour
scores_4_neg,knn,7,Jean.Luc.Mélenchon,Jean.Luc.Mélenchon > Yannick.Jadot > Philippe.Poutou > Fabien.Roussel > Anne.Hidalgo > Nathalie.Arthaud > Emmanuel.Macron > Jean.Lassalle > Valérie.Pecresse > Nicolas.Dupont.Aignan > Marine.Le.Pen > Eric.Zemmour
scores_4_neg,knn,9,Jean.Luc.Mélenchon,Jean.Luc.Mélenchon > Yannick.Jadot > Philippe.Poutou > Fabien.Roussel > Anne.Hidalgo > Nathalie.Arthaud > Emmanuel.Macron > Jean.Lassalle > Valérie.Pecresse > Nicolas.Dupont.Aignan > Marine.Le.Pen > Eric.Zemmour
scores_4_neg,knn,11,Jean.Luc.Mélenchon,Jean.Luc.Mélenchon > Yannick.Jadot > Philippe.Poutou > Fabien.Roussel > Anne.Hidalgo > Nathalie.Arthaud > Emmanuel.Macron > Jean.Lassalle > Valérie.Pecresse > Nicolas.Dupont.Aignan > Marine.Le.Pen > Eric.Zemmour
scores_4_pos,knn,3,Jean.Luc.Mélenchon,Jean.Luc.Mélenchon > Yannick.Jadot > Philippe.Poutou > Fabien.Roussel > Anne.Hidalgo > Nathalie.Arthaud > Emmanuel.Macron > Jean.Lassalle > Valérie.Pecresse > Nicolas.Dupont.Aignan > Marine.Le.Pen > Eric.Zemmour
scores_4_pos,knn,5,Jean.Luc.Mélenchon,Jean.Luc.Mélenchon > Yannick.Jadot > Philippe.Poutou > Fabien.Roussel > Anne.Hidalgo > Nathalie.Arthaud > Emmanuel.Macron > Jean.Lassalle > Valérie.Pecresse > Nicolas.Dupont.Aignan > Marine.Le.Pen > Eric.Zemmour
scores_4_pos,knn,7,Jean.Luc.Mélenchon,Jean.Luc.Mélenchon > Yannick.Jadot > Philippe.Poutou > Fabien.Roussel > Anne.Hidalgo > Nathalie.Arthaud > Emmanuel.Macron > Jean.Lassalle > Valérie.Pecresse > Nicolas.Dupont.Aignan > Marine.Le.Pen > Eric.Zemmour
scores_4_pos,knn,9,Jean.Luc.Mélenchon,Jean.Luc.Mélenchon > Yannick.Jadot > Philippe.Poutou > Fabien.Roussel > Anne.Hidalgo > Nathalie.Arthaud > Emmanuel.Macron > Jean.Lassalle > Valérie.Pecresse > Nicolas.Dupont.Aignan > Marine.Le.Pen > Eric.Zemmour
scores_4_pos,knn,11,Jean.Luc.Mélenchon,Jean.Luc.Mélenchon > Yannick.Jadot > Philippe.Poutou > Fabien.Roussel > Anne.Hidalgo > Nathalie.Arthaud > Emmanuel.Macron > Jean.Lassalle > Valérie.Pecresse > Nicolas.Dupont.Aignan > Marine.Le.Pen > Eric.Zemmour
